3
999
999
4.310307e-02
10 01
T T
5.689655e-01 2.155153e-02 2.155153e-02 1.000000 0.985041 0.899938
1.107392e-01 2.155153e-02 2.155153e-02 1.000000 0.811037 0.077121
9.151834e-01 2.155153e-02 2.155153e-02 1.000000 0.153497 0.521717
4.168946e-01 2.155153e-02 2.155153e-02 1.000000 0.780204 0.463199
5.845557e-01 2.155153e-02 2.155153e-02 1.000000 0.834789 0.975682
1.702005e-01 2.155153e-02 2.155153e-02 1.000000 0.888820 0.103358
1.693860e-01 2.155153e-02 2.155153e-02 1.000000 0.662606 0.513189
2.774710e-01 2.155153e-02 2.155153e-02 1.000000 0.607325 0.292309
5.557220e-01 2.155153e-02 2.155153e-02 1.000000 0.962743 0.933812
4.460260e-01 2.155153e-02 2.155153e-02 1.000000 0.206853 0.725089
5.680286e-01 2.155153e-02 2.155153e-02 1.000000 0.974982 0.645539
6.683198e-01 2.155153e-02 2.155153e-02 1.000000 0.269936 0.103704
3.595934e-01 2.155153e-02 2.155153e-02 1.000000 0.813323 0.574582
7.641257e-01 2.155153e-02 2.155153e-02 1.000000 0.176178 0.321863
9.024047e-01 2.155153e-02 2.155153e-02 1.000000 0.353281 0.068591
3.602129e-01 2.155153e-02 2.155153e-02 1.000000 0.777628 0.992825
7.417684e-01 2.155153e-02 2.155153e-02 1.000000 0.860499 0.242288
3.668750e-01 2.155153e-02 2.155153e-02 1.000000 0.645159 0.774805
4.232672e-02 2.155153e-02 2.155153e-02 1.000000 0.824477 0.098201
7.233737e-01 2.155153e-02 2.155153e-02 1.000000 0.832905 0.747834
3.017450e-01 2.155153e-02 2.155153e-02 1.000000 0.544210 0.171909
6.839037e-01 2.155153e-02 2.155153e-02 1.000000 0.461435 0.944163
3.659724e-01 2.155153e-02 2.155153e-02 1.000000 0.522084 0.264855
4.463979e-01 2.155153e-02 2.155153e-02 1.000000 0.592736 0.122363
1.079213e-01 2.155153e-02 2.155153e-02 1.000000 0.297890 0.210514
4.378426e-01 2.155153e-02 2.155153e-02 1.000000 0.733917 0.452405
6.654311e-01 2.155153e-02 2.155153e-02 1.000000 0.565935 0.291250
4.274445e-01 2.155153e-02 2.155153e-02 1.000000 0.160778 0.674479
6.740038e-01 2.155153e-02 2.155153e-02 1.000000 0.721569 0.428854
3.792874e-02 2.155153e-02 2.155153e-02 1.000000 0.427583 0.738359
8.824786e-01 2.155153e-02 2.155153e-02 1.000000 0.382923 0.285214
7.128337e-01 2.155153e-02 2.155153e-02 1.000000 0.078500 0.646099
5.723578e-01 2.155153e-02 2.155153e-02 1.000000 0.925958 0.140757
2.704706e-02 2.155153e-02 2.155153e-02 1.000000 0.958081 0.572808
8.175801e-01 2.155153e-02 2.155153e-02 1.000000 0.715745 0.006348
9.644124e-01 2.155153e-02 2.155153e-02 1.000000 0.285076 0.648016
1.853253e-01 2.155153e-02 2.155153e-02 1.000000 0.451699 0.834394
3.864251e-01 2.155153e-02 2.155153e-02 1.000000 0.217222 0.298576
6.513905e-01 2.155153e-02 2.155153e-02 1.000000 0.331385 0.665901
8.420175e-02 2.155153e-02 2.155153e-02 1.000000 0.798853 0.586435
1.710901e-01 2.155153e-02 2.155153e-02 1.000000 0.429650 0.711392
7.168615e-01 2.155153e-02 2.155153e-02 1.000000 0.722032 0.758928
9.893642e-02 2.155153e-02 2.155153e-02 1.000000 0.600599 0.642000
6.479208e-01 2.155153e-02 2.155153e-02 1.000000 0.324365 0.613353
6.203158e-01 2.155153e-02 2.155153e-02 1.000000 0.261095 0.677189
1.299521e-01 2.155153e-02 2.155153e-02 1.000000 0.893840 0.749069
6.212023e-01 2.155153e-02 2.155153e-02 1.000000 0.665960 0.791033
7.096712e-01 2.155153e-02 2.155153e-02 1.000000 0.157091 0.043841
2.916985e-02 2.155153e-02 2.155153e-02 1.000000 0.210333 0.653751
5.107600e-01 2.155153e-02 2.155153e-02 1.000000 0.814035 0.264011
9.556366e-02 2.155153e-02 2.155153e-02 1.000000 0.939405 0.577161
6.559574e-01 2.155153e-02 2.155153e-02 1.000000 0.820291 0.891406
3.602983e-01 2.155153e-02 2.155153e-02 1.000000 0.431518 0.406794
8.403290e-01 2.155153e-02 2.155153e-02 1.000000 0.739563 0.041289
6.984969e-01 2.155153e-02 2.155153e-02 1.000000 0.311638 0.464064
1.283171e-01 2.155153e-02 2.155153e-02 1.000000 0.338498 0.223585
7.091272e-01 2.155153e-02 2.155153e-02 1.000000 0.175784 0.047399
3.813239e-01 2.155153e-02 2.155153e-02 1.000000 0.915283 0.569217
4.903862e-01 2.155153e-02 2.155153e-02 1.000000 0.216856 0.051528
6.432358e-01 2.155153e-02 2.155153e-02 1.000000 0.360246 0.531068
4.397064e-01 2.155153e-02 2.155153e-02 1.000000 0.226194 0.565972
2.750145e-01 2.155153e-02 2.155153e-02 1.000000 0.338983 0.272436
7.522724e-01 2.155153e-02 2.155153e-02 1.000000 0.367492 0.612982
3.811284e-02 2.155153e-02 2.155153e-02 1.000000 0.180163 0.766005
3.930116e-01 2.155153e-02 2.155153e-02 1.000000 0.932079 0.858003
4.061838e-01 2.155153e-02 2.155153e-02 1.000000 0.532197 0.416898
8.234999e-01 2.155153e-02 2.155153e-02 1.000000 0.363565 0.036944
